name, hostname, number_of_stars (int), number_of_planets (int), orbital_period (_days), orbit_semimajor_axis (_au),radius_vs_Earth (float),mass_vs_Earth (float),eccentricity (float), insolation_flux (float), equilibrium_temperature (_K),distance (_pc)
K2-24 b,K2-24,1,2,20.88506000000,,5.94000000,,,,,170.56200000
K2-24 b,K2-24,1,2,20.88977000000,,5.40000000,19.00000000,0.060000,,,170.56200000
K2-24 b,K2-24,1,2,20.88977000000,,5.40000000,19.00000000,,52.0000,686.00,170.56200000
K2-24 b,K2-24,1,2,20.88508000000,0.1542000000,5.83000000,,,60.1000,709.00,170.56200000
K2-24 b,K2-24,1,2,20.88501600000,,5.25597181,,,,,170.56200000
K2-24 b,K2-24,1,2,20.88510000000,,5.68000000,19.80000000,0.000000,,,170.56200000
K2-24 b,K2-24,1,2,20.88526000000,0.1577000000,7.07000000,,,87.0000,,170.56200000
K2-24 b,K2-24,1,2,20.88510000000,0.1540000000,5.68000000,21.00000000,0.000000,60.0000,767.00,170.56200000
K2-24 b,K2-24,1,2,20.88507500000,,4.05000000,,,,,170.56200000
K2-24 c,K2-24,1,2,42.33910000000,,7.50000000,15.40000000,,20.0000,542.00,170.56200000
K2-24 c,K2-24,1,2,42.33910000000,,7.50000000,15.40000000,0.070000,,,170.56200000
K2-24 c,K2-24,1,2,,,8.24000000,,,,,170.56200000
K2-24 c,K2-24,1,2,42.36330000000,0.2470000000,7.82000000,27.00000000,0.000000,24.0000,606.00,170.56200000
K2-24 c,K2-24,1,2,42.36330000000,,7.82000000,26.00000000,0.000000,,,170.56200000
K2-24 c,K2-24,1,2,42.36301000000,0.2527000000,9.80000000,,,34.2000,,170.56200000
K2-24 c,K2-24,1,2,42.36342000000,0.2471000000,8.10000000,,,23.4000,560.00,170.56200000
K2-24 c,K2-24,1,2,42.36349300000,,5.59000000,,,,,170.56200000
K2-24 c,K2-24,1,2,42.36398200000,,7.11789890,,,,,170.56200000
K2-240 b,K2-240,1,2,6.03400000000,0.0513000000,2.00000000,,,,586.00,72.91050000
K2-240 c,K2-240,1,2,20.52300000000,0.1159000000,1.80000000,,,,389.00,72.91050000
K2-241 b,K2-241,1,1,26.81990000000,0.1567000000,2.55000000,,,,507.00,149.46400000
K2-242 b,K2-242,1,1,6.51389000000,0.0494000000,2.54000000,,,,416.00,109.23700000
K2-243 b,K2-243,1,2,11.54182000000,0.1087000000,2.17000000,,,,1035.00,266.86400000
K2-243 c,K2-243,1,2,24.94598000000,0.1817000000,2.01000000,,,,801.00,266.86400000
K2-244 b,K2-244,1,1,21.06884000000,0.1418000000,1.75000000,,,,638.00,212.90200000
K2-244 b,K2-244,1,1,21.07020100000,,1.65007129,,,,,212.90200000
K2-245 b,K2-245,1,1,11.89307000000,0.0959000000,4.34000000,,,,923.00,456.06400000
K2-245 b,K2-245,1,1,11.89376000000,,2.67000000,,,83.0000,769.00,456.06400000
K2-246 b,K2-246,1,1,5.76918000000,0.0602000000,3.49000000,,,,977.00,703.61600000
K2-247 b,K2-247,1,2,2.25021000000,0.0304000000,2.12000000,,,,979.00,258.11300000
K2-247 c,K2-247,1,2,6.49424000000,0.0615000000,2.19000000,,,,688.00,258.11300000
K2-248 b,K2-248,1,1,7.17256000000,0.0699000000,2.57000000,,,,886.00,406.25400000
K2-249 b,K2-249,1,1,12.40900000000,0.1151000000,2.79000000,,,,1061.00,521.71600000
K2-25 b,K2-25,1,1,3.48456248000,,,,0.270000,,,44.95650000
K2-25 b,K2-25,1,1,3.48456270000,,,,,,,44.95650000
K2-25 b,K2-25,1,1,,,,,,,,44.95650000
K2-25 b,K2-25,1,1,3.48456408000,0.0287000000,3.44000000,24.50000000,0.428000,9.9100,494.00,44.95650000
K2-25 b,K2-25,1,1,3.48430000000,,,,,,,44.95650000
K2-25 b,K2-25,1,1,3.48455432425,,4.20831932,,,9.5041,447.81,44.95650000
K2-25 b,K2-25,1,1,3.48455200000,,3.43000000,,0.270000,,,44.95650000
K2-250 b,K2-250,1,1,4.01392000000,0.0460600000,2.71257333,,0.210000,,1003.00,414.70800000
K2-250 b,K2-250,1,1,4.01457000000,0.0459000000,2.44000000,,,,958.00,414.70800000
K2-251 b,K2-251,1,1,9.30075000000,0.0694000000,2.35000000,,,,437.00,147.03000000
K2-252 b,K2-252,1,1,13.81513000000,0.1041000000,1.74000000,,,,639.00,228.83900000
K2-253 b,K2-253,1,1,4.00167000000,0.0506000000,12.67000000,,,,1238.00,876.56500000
K2-253 b,K2-253,1,1,4.00357732994,,12.96278785,,,365.8185,1115.41,876.56500000
K2-254 b,K2-254,1,2,4.09639000000,0.0448000000,1.63000000,,,,791.00,227.77500000
K2-254 c,K2-254,1,2,12.11839000000,0.0923000000,2.19000000,,,,551.00,227.77500000
K2-255 b,K2-255,1,1,1.96417000000,0.0274000000,2.90000000,,,,1034.00,191.60800000
K2-257 b,K2-257,1,1,1.60588000000,0.0216000000,0.83000000,,,,789.00,64.00650000
K2-258 b,K2-258,1,1,19.09210000000,0.1490000000,3.00000000,,,,831.00,661.87300000
K2-259 b,K2-259,1,1,15.48043000000,0.1271000000,2.32000000,,,,795.00,416.45700000
K2-259 b,K2-259,1,1,15.48239900000,,2.09663798,,,,,416.45700000
K2-26 b,K2-26,1,1,14.56702500000,,2.79000000,,,,,99.05040000
K2-26 b,K2-26,1,1,14.56810100000,,2.47000000,,,,,99.05040000
K2-26 b,K2-26,1,1,14.56650000000,0.0962000000,2.67000000,,,5.8000,430.00,99.05040000
K2-26 b,K2-26,1,1,14.56620000000,0.0945000000,2.58000000,,,5.2800,,99.05040000
K2-26 b,K2-26,1,1,14.56594000000,,,,,,,99.05040000
K2-26 b,K2-26,1,1,,,3.55068952,,,0.0279,104.26,99.05040000
K2-260 b,K2-260,1,1,2.62669762000,0.0439200000,18.41635529,546.66486004,0.053000,,2090.00,663.83400000
K2-260 b,K2-260,1,1,2.62669768000,,,,,,,663.83400000
K2-260 b,K2-260,1,1,2.62669740000,,,,,,,663.83400000
K2-260 b,K2-260,1,1,2.62669830000,,18.79690000,,,2520.0300,1973.00,663.83400000
K2-260 b,K2-260,1,1,2.62666580000,,,,,,,663.83400000
K2-260 b,K2-260,1,1,2.62666570000,0.0404000000,17.39636800,451.31860000,0.000000,,1957.00,663.83400000
K2-261 b,K2-261,1,1,11.63346810000,0.1086000000,9.26982704,68.96876432,0.274000,,1036.00,213.28300000
K2-261 b,K2-261,1,1,11.63347580000,,,,0.390000,,,213.28300000
K2-261 b,K2-261,1,1,11.63348200000,,,,,,,213.28300000
K2-261 b,K2-261,1,1,11.63344000000,,9.52763359,69.92224954,0.420000,,,213.28300000
K2-261 b,K2-261,1,1,11.63347800000,0.1034000000,9.52763359,59.75174052,0.286000,180.0000,1046.00,213.28300000
K2-261 b,K2-261,1,1,11.63347800000,0.1087000000,9.50521563,67.69745069,0.248000,180.0000,1030.00,213.28300000
K2-261 b,K2-261,1,1,11.63344000000,0.1020000000,9.52765000,70.87609000,0.390000,,1080.00,213.28300000
K2-261 b,K2-261,1,1,11.63345000000,,,,,,,213.28300000
K2-261 b,K2-261,1,1,11.63395000000,,10.32000000,56.00000000,,212.0000,973.00,213.28300000
K2-261 b,K2-261,1,1,11.63321270000,,10.26400000,,,126.9510,935.00,213.28300000
K2-263 b,K2-263,1,1,50.81894700000,0.2573000000,2.41000000,14.90000000,0.150000,8.1700,470.00,162.48100000
K2-263 b,K2-263,1,1,50.82130000000,,2.18000000,,,,,162.48100000
K2-263 b,K2-263,1,1,50.81894700000,0.2573000000,2.41000000,14.80000000,0.140000,,470.00,162.48100000
K2-263 b,K2-263,1,1,50.81933100000,,2.16538589,,,,,162.48100000
K2-264 b,K2-264,1,2,5.83977000000,,2.27000000,,0.500000,,489.00,185.60500000
K2-264 b,K2-264,1,2,5.84000200000,0.0502300000,2.23100000,,,,496.00,185.60500000
K2-264 c,K2-264,1,2,19.66030200000,0.1128300000,2.66800000,,,,331.00,185.60500000
K2-264 c,K2-264,1,2,19.66365000000,,2.77000000,,0.450000,,326.00,185.60500000
K2-265 b,K2-265,2,1,2.36901900000,,1.67000000,,,,,138.67100000
K2-265 b,K2-265,2,1,2.36916512782,,1.65688484,,,564.9021,1243.41,138.67100000
K2-265 b,K2-265,2,1,2.36919300000,,1.62000000,,,,,138.67100000
K2-265 b,K2-265,2,1,2.36840828000,,,,,,,138.67100000
K2-265 b,K2-265,2,1,2.36902000000,0.0335900000,1.70824866,7.34183620,0.160000,,1366.00,138.67100000
K2-265 b,K2-265,2,1,2.36917200000,0.0337600000,1.71000000,6.54000000,0.084000,,,138.67100000
K2-265 b,K2-265,2,1,2.36904380000,,1.63000000,,,,,138.67100000
K2-265 b,K2-265,2,1,2.36900800000,,1.66165565,,,,,138.67100000
K2-265 b,K2-265,2,1,2.36906000000,,1.67600000,4.60000000,,592.0000,1257.00,138.67100000
K2-266 b,K2-266,2,4,0.65852400000,0.0130600000,3.30000000,,,879.5000,1515.00,77.55860000
K2-266 c,K2-266,2,4,7.81400000000,0.0679000000,0.70500000,,0.042000,32.4000,664.50,77.55860000
K2-266 d,K2-266,2,4,14.69808003166,,3.17788403,,,16.3607,512.94,77.55860000
K2-266 d,K2-266,2,4,14.69700000000,0.1035000000,2.93000000,8.90000000,0.047000,13.9500,538.30,77.55860000
K2-266 d,K2-266,2,4,14.69820000000,,,,0.050000,,,77.55860000
K2-266 e,K2-266,2,4,19.48348329613,,3.54834332,,,11.2355,466.95,77.55860000
K2-266 e,K2-266,2,4,19.48200000000,0.1249000000,2.73000000,14.30000000,0.043000,9.5810,490.10,77.55860000
K2-268 b,K2-268,1,5,2.15228000000,,1.61000000,,,,,327.78300000
K2-268 b,K2-268,1,5,2.15167600000,,1.50000000,,,,1136.00,327.78300000
K2-268 b,K2-268,1,5,2.15189400000,0.0308000000,1.41000000,,,,1121.00,327.78300000
K2-268 c,K2-268,1,5,9.32500000000,,,,,,,327.78300000
K2-268 c,K2-268,1,5,9.32752700000,,2.69000000,,,,696.00,327.78300000
K2-268 c,K2-268,1,5,9.33155684000,,,,,,,327.78300000
K2-268 c,K2-268,1,5,9.32705000000,,3.63000000,,,,,327.78300000
K2-268 c,K2-268,1,5,9.32542900000,,2.14000000,,,,,327.78300000
K2-268 c,K2-268,1,5,9.32684100000,0.0819000000,2.69000000,,,,688.00,327.78300000
K2-268 c,K2-268,1,5,9.32610000000,,3.10000000,,,,,327.78300000
K2-268 d,K2-268,1,5,4.52905000000,,1.85000000,,,,,327.78300000
K2-268 d,K2-268,1,5,4.52859800000,,1.49000000,,,,888.00,327.78300000
K2-268 e,K2-268,1,5,6.13174000000,,1.72000000,,,,,327.78300000
K2-268 e,K2-268,1,5,6.13124300000,,1.33000000,,,,801.00,327.78300000
K2-268 f,K2-268,1,5,26.26780000000,,2.60000000,,,,,327.78300000
K2-268 f,K2-268,1,5,26.27057000000,,2.23000000,,,,492.00,327.78300000
K2-269 b,K2-269,1,1,4.14496500000,0.0531000000,1.57000000,,,,1429.00,360.76000000
K2-269 b,K2-269,1,1,4.14400000000,,,,,,,360.76000000
K2-269 b,K2-269,1,1,4.14539800000,,1.19563950,,,,,360.76000000
K2-269 b,K2-269,1,1,4.14493700000,,1.40000000,,,,,360.76000000
K2-27 b,K2-27,3,1,6.77134700000,,4.74000000,30.20000000,,116.0000,836.00,249.64500000
K2-27 b,K2-27,3,1,6.77138900000,,4.58049508,,,,,249.64500000
K2-27 b,K2-27,3,1,6.77131000000,,5.77000000,,,,991.00,249.64500000
K2-27 b,K2-27,3,1,6.77131500000,0.0703000000,5.36000000,,,216.0000,,249.64500000
K2-27 b,K2-27,3,1,6.77140210000,,4.68000000,,,,,249.64500000
K2-27 b,K2-27,3,1,6.77134110000,,5.07965000,,,144.1700,965.00,249.64500000
K2-27 b,K2-27,3,1,6.77145000000,,4.45000000,29.10000000,0.160000,,,249.64500000
K2-27 b,K2-27,3,1,6.77131500000,0.0670200000,4.48000000,30.90000000,0.251000,116.0000,902.00,249.64500000
K2-27 b,K2-27,3,1,6.77093147000,,,,,,,249.64500000
K2-27 b,K2-27,3,1,6.77137500000,,5.05000000,,,,,249.64500000
K2-270 b,K2-270,1,2,1.54306900000,0.0247000000,1.38000000,,,,1203.00,280.51800000
K2-270 b,K2-270,1,2,1.54345200000,,1.30000000,,,,,280.51800000
K2-270 b,K2-270,1,2,1.54304100000,,1.50000000,,,,,280.51800000
K2-270 c,K2-270,1,2,4.40003700000,,3.30000000,,,,,280.51800000
K2-270 c,K2-270,1,2,4.40000000000,,,,,,,280.51800000
K2-270 c,K2-270,1,2,4.39883617000,,,,,,,280.51800000
K2-270 c,K2-270,1,2,4.39987100000,,2.80000000,,,,,280.51800000
K2-270 c,K2-270,1,2,4.39973900000,,3.01000000,,,,,280.51800000
K2-270 c,K2-270,1,2,4.40002800000,0.0497000000,2.95000000,,,,848.00,280.51800000
K2-271 b,K2-271,1,1,8.56240500000,,6.00000000,,,,,564.45400000
K2-271 b,K2-271,1,1,8.56394776000,,,,,,,564.45400000
K2-271 b,K2-271,1,1,8.56242100000,0.0770000000,7.28000000,,,,893.00,564.45400000
K2-271 b,K2-271,1,1,8.56200000000,,,,,,,564.45400000
K2-271 b,K2-271,1,1,8.56222000000,,6.89000000,,,,,564.45400000
K2-271 b,K2-271,1,1,8.56232889439,,6.92239107,,,133.8067,867.44,564.45400000
K2-272 b,K2-272,1,1,14.45367560000,0.1007000000,3.13000000,,,,747.00,423.06500000
K2-272 b,K2-272,1,1,14.45353300000,0.1081000000,2.91000000,,,,655.00,423.06500000
K2-272 b,K2-272,1,1,14.45351300000,,2.70000000,,,,,423.06500000
K2-272 b,K2-272,1,1,14.45200000000,,,,,,,423.06500000
K2-272 b,K2-272,1,1,14.45182127000,,,,,,,423.06500000
K2-272 b,K2-272,1,1,14.45403400000,,3.20000000,,,,,423.06500000
K2-272 b,K2-272,1,1,14.45107000000,,2.96000000,,,,,423.06500000
K2-273 b,K2-273,1,1,11.71956630000,0.0729000000,3.05000000,,,,849.00,308.10500000
K2-273 b,K2-273,1,1,11.72222800000,,2.70000000,,,,,308.10500000
K2-273 b,K2-273,1,1,11.72000000000,,,,,,,308.10500000
K2-273 b,K2-273,1,1,11.72210300000,,2.80000000,,,,,308.10500000
K2-273 b,K2-273,1,1,11.71660300000,,4.20000000,,,,,308.10500000
K2-273 b,K2-273,1,1,11.71571445000,,,,,,,308.10500000
K2-273 b,K2-273,1,1,11.71633200000,0.0974000000,4.42000000,,,,672.00,308.10500000
K2-273 b,K2-273,1,1,11.71885000000,,3.34000000,,,,,308.10500000
K2-274 b,K2-274,1,1,14.13014200000,,2.41000000,,,,,228.32700000
K2-274 b,K2-274,1,1,14.13018400000,,2.20000000,,,,,228.32700000
K2-274 b,K2-274,1,1,14.13342700000,,2.32120418,,,,,228.32700000
K2-274 b,K2-274,1,1,14.13303140000,0.0964000000,2.08000000,,,,655.00,228.32700000
K2-274 b,K2-274,1,1,14.12971400000,0.1064000000,2.20000000,,,,589.00,228.32700000
K2-274 b,K2-274,1,1,14.11544241000,,,,,,,228.32700000
K2-274 b,K2-274,1,1,14.12900000000,,,,,,,228.32700000
K2-274 b,K2-274,1,1,14.13168000000,,2.18000000,,,,,228.32700000
K2-275 b,K2-275,1,2,3.28085800000,,2.12868800,,,,,123.43800000
K2-275 b,K2-275,1,2,3.28094800000,,2.26000000,,,,,123.43800000
K2-275 b,K2-275,1,2,3.28096260000,0.0277000000,2.34000000,,,,1166.00,123.43800000
K2-275 b,K2-275,1,2,3.28096100000,0.0400000000,2.24000000,,,,905.00,123.43800000
K2-275 b,K2-275,1,2,3.28102986099,,2.50448263,,,161.2476,908.85,123.43800000
K2-275 b,K2-275,1,2,3.28046294000,,,,,,,123.43800000
K2-275 b,K2-275,1,2,3.28092600000,,2.30000000,,,,,123.43800000
K2-275 b,K2-275,1,2,3.28100000000,,,,,,,123.43800000
K2-275 c,K2-275,1,2,8.43889970961,,3.01612551,,,45.7572,663.34,123.43800000
K2-275 c,K2-275,1,2,8.43863500000,,2.50000000,,,,,123.43800000
K2-275 c,K2-275,1,2,8.43883850000,0.0881000000,2.21000000,,,,653.00,123.43800000
K2-275 c,K2-275,1,2,8.43903000000,,2.51000000,,,,,123.43800000
K2-275 c,K2-275,1,2,8.43875600000,0.0750000000,2.34000000,,,,660.00,123.43800000
K2-275 c,K2-275,1,2,8.43800000000,,,,,,,123.43800000
K2-276 b,K2-276,1,1,18.71320000000,,3.63000000,,,,,488.15200000
K2-276 b,K2-276,1,1,18.71826900000,0.1291000000,3.77000000,,,,583.00,488.15200000
K2-276 b,K2-276,1,1,18.71100000000,,,,,,,488.15200000
K2-276 b,K2-276,1,1,18.71763100000,,3.20000000,,,,,488.15200000
K2-277 b,K2-277,1,1,6.32976960000,,,,,,,113.12300000
K2-277 b,K2-277,1,1,6.32677000000,,2.23000000,7.40000000,,195.0000,953.00,113.12300000
K2-277 b,K2-277,1,1,6.32700000000,,,,,,,113.12300000
K2-277 b,K2-277,1,1,6.32667400000,,2.12171156,,,,,113.12300000
K2-277 b,K2-277,1,1,6.32679600000,,2.20000000,,,,,113.12300000
K2-277 b,K2-277,1,1,6.32676300000,0.0675000000,2.07000000,,,,958.00,113.12300000
K2-277 b,K2-277,1,1,6.32668003682,,2.29015537,,,195.7304,953.97,113.12300000
K2-277 b,K2-277,1,1,6.32669000000,,2.16000000,,,,,113.12300000
K2-277 b,K2-277,1,1,6.32676800000,0.0664000000,2.18575124,,0.520000,,1049.00,113.12300000
K2-278 b,K2-278,1,1,3.33300000000,,,,,,,786.43900000
K2-278 b,K2-278,1,1,3.33496600000,0.0488000000,2.98000000,,,,1711.00,786.43900000
K2-278 b,K2-278,1,1,3.33511500000,,1.60000000,,,,,786.43900000
K2-278 b,K2-278,1,1,3.33253000000,,3.63000000,,,,,786.43900000
K2-279 b,K2-279,1,1,7.12229700000,,1.00000000,,,,,182.98300000
K2-279 b,K2-279,1,1,7.12260500000,0.0670000000,1.21000000,,,,879.00,182.98300000
K2-279 b,K2-279,1,1,7.12500000000,,,,,,,182.98300000
K2-279 b,K2-279,1,1,7.12471000000,,1.24400000,,,,,182.98300000
K2-28 b,K2-28,1,1,2.26044390000,,1.60000000,,,,,62.99690000
K2-28 b,K2-28,1,1,2.26043800000,0.0187000000,2.45000000,,,,590.00,62.99690000
K2-28 b,K2-28,1,1,2.26043500000,0.0200000000,2.30000000,,0.130000,30.1000,,62.99690000
K2-28 b,K2-28,1,1,2.26026548696,,2.72623736,,,21.3031,547.94,62.99690000
K2-28 b,K2-28,1,1,2.26045500000,0.0214000000,2.32000000,,0.000000,,568.00,62.99690000
K2-28 b,K2-28,1,1,2.26044550000,0.0192000000,2.56000000,,0.000000,21.7000,420.00,62.99690000
K2-28 b,K2-28,1,1,2.26040400000,,1.52000000,,,,,62.99690000
K2-280 b,K2-280,1,1,19.89531000000,,8.01000000,,,,,391.53700000
K2-280 b,K2-280,1,1,19.89526000000,0.1461000000,7.50000000,37.10000000,0.350000,,787.00,391.53700000
K2-280 b,K2-280,1,1,19.89520200000,0.1488000000,7.67000000,,,,744.00,391.53700000
K2-280 b,K2-280,1,1,19.89500000000,,7.46000000,49.00000000,,69.5000,736.00,391.53700000
K2-280 b,K2-280,1,1,19.89464100000,,5.55493874,,,,,391.53700000
K2-280 b,K2-280,1,1,19.89526800000,,8.50000000,,,,,391.53700000
K2-281 b,K2-281,1,1,8.68772100000,0.0773000000,8.18000000,,,,665.00,458.13900000
K2-281 b,K2-281,1,1,8.68781200000,,7.36000000,,,,,458.13900000
K2-281 b,K2-281,1,1,8.68770800000,,8.10000000,,,,,458.13900000
K2-282 b,K2-282,1,2,4.16974600000,,2.70000000,,,,,496.28900000
K2-282 b,K2-282,1,2,4.17032000000,,3.19000000,,,,,496.28900000
K2-282 b,K2-282,1,2,4.16983600000,0.0499000000,2.82000000,,,,1057.00,496.28900000
K2-282 b,K2-282,1,2,4.16978300000,,2.50000000,,,,,496.28900000
K2-283 b,K2-283,1,1,1.92103600000,0.0291000000,3.52000000,,,,1186.00,402.91500000
K2-283 b,K2-283,1,1,1.92107600000,,3.80000000,,,,,402.91500000
K2-283 b,K2-283,1,1,1.92111100000,,3.23000000,,,,,402.91500000
K2-284 b,K2-284,1,1,4.79506900000,0.0477100000,2.78000000,,0.078000,42.6000,653.00,107.27200000
K2-284 b,K2-284,1,1,4.79486420000,,3.39850000,,,118.6380,919.00,107.27200000
K2-284 b,K2-284,1,1,4.79485990000,,,,0.078000,,,107.27200000
K2-285 b,K2-285,1,4,3.47174500000,0.0381700000,2.59000000,9.68000000,0.000000,234.3100,1088.90,154.96100000
K2-285 b,K2-285,1,4,3.47156440000,,2.65245000,,,304.0540,1163.00,154.96100000
K2-285 c,K2-285,1,4,7.13804800000,0.0824000000,3.53000000,15.68000000,0.000000,50.3500,741.40,154.96100000
K2-285 c,K2-285,1,4,7.13856720000,,3.60516000,,,63.7967,787.00,154.96100000
K2-285 d,K2-285,1,4,10.45582000000,0.1178000000,2.48000000,6.50000000,0.000000,24.6100,619.90,154.96100000
K2-285 e,K2-285,1,4,14.76289000000,0.1804100000,1.95000000,10.70000000,0.000000,10.5000,500.90,154.96100000
K2-286 b,K2-286,1,1,27.35900000000,0.1768000000,2.10000000,,,,347.00,76.14860000
K2-287 b,K2-287,1,1,14.89329100000,0.1206000000,9.49402300,100.11645000,0.478000,,804.00,158.33500000
K2-287 b,K2-287,1,1,14.89329000000,,9.33708092,101.70509024,0.480000,,,158.33500000
K2-288 B b,K2-288 B,2,1,31.38880000000,,1.25000000,,,,,65.61380000
K2-288 B b,K2-288 B,2,1,31.39346300000,0.1640000000,1.90000000,,,,226.36,65.61380000
K2-289 b,K2-289,1,1,13.15727000000,,10.83000000,,,,,274.30000000
K2-289 b,K2-289,1,1,13.15628000000,,3.20000000,,,,,274.30000000
K2-289 b,K2-289,1,1,13.15697400000,,5.19000000,,,,,274.30000000
K2-289 b,K2-289,1,1,13.15696900000,0.1070000000,9.10000000,,,,753.00,274.30000000
K2-29 b,K2-29,2,1,3.25883210000,0.0421700000,13.33871000,232.01590000,0.066000,,1171.00,178.47500000
K2-29 b,K2-29,2,1,3.25881300000,,11.38000000,,,,,178.47500000
K2-29 b,K2-29,2,1,3.25892630000,0.0409700000,11.20900000,194.82979000,0.084000,,1076.00,178.47500000
K2-29 b,K2-29,2,1,3.25919930000,,,,,,,178.47500000
K2-29 b,K2-29,2,1,3.25883150000,,,,,,,178.47500000
K2-29 b,K2-29,2,1,3.25883164155,,12.87148683,,,284.4142,1047.39,178.47500000
K2-29 b,K2-29,2,1,3.25876800000,0.0421400000,11.42000000,,,293.0000,,178.47500000
K2-29 b,K2-29,2,1,3.25883406000,,,,0.066000,,,178.47500000
K2-29 b,K2-29,2,1,3.25882400000,,12.05607716,,,,,178.47500000
K2-290 b,K2-290,3,2,,,,,,,,272.90900000
K2-290 b,K2-290,3,2,9.21165000000,0.0923000000,3.06000000,10.90000000,0.000000,,1230.00,272.90900000
K2-290 c,K2-290,3,2,,,,,,,,272.90900000
K2-290 c,K2-290,3,2,48.36685000000,0.3050000000,11.27625400,246.00042000,0.000000,,676.00,272.90900000
K2-291 b,K2-291,1,1,2.22516390000,,1.50436000,,,348.6010,1203.00,90.05620000
K2-291 b,K2-291,1,1,2.22517700000,,1.58900000,6.49000000,,633.0000,1278.00,90.05620000
K2-291 b,K2-291,1,1,2.22517700000,0.0326100000,1.58900000,6.49000000,0.000000,633.0000,,90.05620000
K2-291 b,K2-291,1,1,2.22500000000,,1.58200000,6.40000000,,,,90.05620000
K2-292 b,K2-292,1,1,16.98410000000,0.1300000000,2.63000000,24.50000000,0.040000,67.0000,795.00,114.29300000
K2-293 b,K2-293,1,1,13.12250000000,,2.45000000,,,,750.00,392.25100000
K2-294 b,K2-294,1,1,2.50387000000,,1.66000000,,,,1425.00,373.07800000
K2-295 b,K2-295,1,1,4.02488830000,,9.56000000,,,,,232.80100000
K2-295 b,K2-295,1,1,4.02487350000,,11.67860000,,,97.8595,876.00,232.80100000
K2-295 b,K2-295,1,1,4.02486700000,0.0451000000,10.05447300,106.47305000,0.000000,,852.00,232.80100000
K2-295 b,K2-295,1,1,4.02488100000,,10.30000000,,,,,232.80100000
K2-295 b,K2-295,1,1,4.02488968000,,,,,,,232.80100000
K2-3 b,K2-3,1,3,10.05176778000,,,,,,,44.07270000
K2-3 b,K2-3,1,3,10.05462600000,,,6.48000000,0.000000,,,44.07270000
K2-3 b,K2-3,1,3,10.05465350000,0.0747000000,2.07800000,5.11000000,0.107000,10.5000,501.30,44.07270000
K2-3 b,K2-3,1,3,10.05448000000,0.0740000000,1.98000000,,,,504.00,44.07270000
K2-3 b,K2-3,1,3,10.05437400000,,2.40000000,,,,,44.07270000
K2-3 b,K2-3,1,3,10.05454400000,,2.08000000,,,,,44.07270000
K2-3 b,K2-3,1,3,10.05443000000,0.0679000000,1.44000000,,,5.8000,,44.07270000
K2-3 b,K2-3,1,3,10.05429000000,0.0775000000,2.07800000,8.40000000,0.060000,,,44.07270000
K2-3 b,K2-3,1,3,10.05449000000,0.0769000000,2.18000000,,,10.9000,463.00,44.07270000
K2-3 b,K2-3,1,3,10.05403000000,0.0769000000,2.14000000,,,11.0000,,44.07270000
K2-3 b,K2-3,1,3,10.05460031054,,2.11286662,,,11.5486,470.17,44.07270000
K2-3 b,K2-3,1,3,10.05462600000,,2.14000000,6.48000000,,11.0000,463.00,44.07270000
K2-3 b,K2-3,1,3,10.05454000000,0.0777000000,2.29000000,6.60000000,,,,44.07270000
K2-3 b,K2-3,1,3,10.05467000000,,1.45000000,,,,,44.07270000
K2-3 b,K2-3,1,3,10.05462600000,0.0778000000,2.25000000,6.47000000,0.094000,11.6000,513.00,44.07270000
K2-3 b,K2-3,1,3,10.05403000000,,2.14000000,8.10000000,0.000000,,,44.07270000
K2-3 c,K2-3,1,3,24.64354000000,0.1399000000,1.85000000,,,3.3000,344.00,44.07270000
K2-3 c,K2-3,1,3,24.64501300000,,1.90000000,,,,,44.07270000
K2-3 c,K2-3,1,3,24.64672900000,0.1357000000,1.58200000,2.68000000,0.048000,3.1700,371.80,44.07270000
K2-3 c,K2-3,1,3,24.64658200000,,1.72000000,2.14000000,,3.0000,344.00,44.07270000
K2-3 c,K2-3,1,3,24.64658200000,,,2.14000000,0.000000,,,44.07270000
K2-3 c,K2-3,1,3,24.64638000000,,1.69000000,,,,,44.07270000
K2-3 c,K2-3,1,3,24.64671000000,,1.18000000,,,,,44.07270000
K2-3 c,K2-3,1,3,24.64910000000,0.1405000000,1.64400000,2.10000000,0.040000,,,44.07270000
K2-3 c,K2-3,1,3,24.64658200000,0.1414000000,1.69000000,3.30000000,0.095000,3.5100,381.00,44.07270000
K2-3 c,K2-3,1,3,24.64350000000,0.1235000000,1.18000000,,,1.7700,,44.07270000
K2-3 c,K2-3,1,3,24.64745000000,0.1345000000,1.56000000,,,,374.00,44.07270000
K2-3 c,K2-3,1,3,24.64540000000,0.1399000000,1.72000000,,,3.3200,,44.07270000
K2-3 c,K2-3,1,3,24.64638000000,0.1413000000,1.77000000,3.10000000,,,,44.07270000
K2-3 c,K2-3,1,3,24.64540000000,,1.72000000,4.20000000,0.000000,,,44.07270000
K2-3 d,K2-3,1,3,44.55740000000,,1.11000000,,,,,44.07270000
K2-3 d,K2-3,1,3,44.55645600000,0.2097000000,1.62000000,1.60000000,0.097000,1.6000,312.00,44.07270000
K2-3 d,K2-3,1,3,44.55765000000,,1.61000000,,,1.5000,300.00,44.07270000
K2-3 d,K2-3,1,3,44.55603000000,0.2014000000,1.45800000,2.20000000,0.091000,1.4400,305.20,44.07270000
